#Wavenumber (cm^-1);  Spectrum at 300.00 K (cm*km*mol^-1);  Integral (km*mol^-1)
781.79; 0.98526206; 562.44922974528
783.83; 0.97960636; 564.44362375358
785.86; 0.97381666; 566.42623043802
787.90; 0.96779643; 568.39658043961
789.93; 0.96137219; 570.35385124589
791.97; 0.95440769; 572.29694293276
794.01; 0.94689855; 574.2247466614
796.04; 0.93901149; 576.13649300862
798.08; 0.93105449; 578.03203959749
800.11; 0.92339015; 579.91198224413
802.15; 0.91632381; 581.7775384465
804.19; 0.91000534; 583.63023077756
806.22; 0.90437587; 585.47146200724
808.26; 0.89917408; 587.30210282621
810.29; 0.89399574; 589.12220098852
812.33; 0.8883855; 590.93087720231
814.37; 0.88193361; 592.72641791941
816.40; 0.87435487; 594.50652898259
818.44; 0.86553807; 596.26868979011
820.47; 0.8555648; 598.01054588741
822.51; 0.84470321; 599.73028872523
824.55; 0.8333812; 601.42698092712
826.58; 0.82213887; 603.10078470846
828.62; 0.81155551; 604.75304168608
830.65; 0.80214838; 606.3861465612
832.69; 0.79425038; 608.00317178443
834.72; 0.78788928; 609.60724635376
836.76; 0.7827048; 611.20076577984
838.80; 0.77794318; 612.78459094778
840.83; 0.77255603; 614.35744834755
842.87; 0.76540227; 615.91574131637
844.90; 0.75551568; 617.45390604574
846.94; 0.74237043; 618.96530817022
848.98; 0.7260649; 620.44351364324
851.01; 0.70735868; 621.88363486948
853.05; 0.68753644; 623.2833997325
855.08; 0.66812465; 624.64364384826
857.12; 0.65053451; 625.96807595831
859.16; 0.63573071; 627.2623688136
861.19; 0.62401952; 628.53281869954
863.23; 0.61501386; 629.78493383368
865.26; 0.60777832; 631.02231804463
867.30; 0.60110326; 632.2461123998
869.34; 0.59382157; 633.45508186098
871.37; 0.58507641; 634.64624693659
873.41; 0.57447172; 635.81582178545
875.44; 0.56208045; 636.96016906571
877.48; 0.54833097; 638.07652360656
879.51; 0.53382516; 639.16334555979
881.55; 0.51915197; 640.22029416985
883.59; 0.50474945; 641.24792049735
885.62; 0.49084178; 642.24723200103
887.66; 0.47744959; 643.21927815452
889.69; 0.46445075; 644.16485979372
891.73; 0.45166081; 645.08440223112
893.77; 0.4389067; 645.97797839243
895.80; 0.42607857; 646.84543759372
897.84; 0.41315664; 647.68658885779
899.87; 0.4002169; 648.50139592902
901.91; 0.38742163; 649.29015294048
903.95; 0.37499854; 650.05361759425
905.98; 0.36321014; 650.79308210084
908.02; 0.3523152; 651.51036544074
910.05; 0.34252602; 652.20771886418
912.09; 0.33396926; 652.88765145197
914.13; 0.32665872; 653.5527004051
916.16; 0.32048717; 654.20518462061
918.20; 0.31523893; 654.84698387596
920.23; 0.31061923; 655.4793778111
922.27; 0.3062924; 656.10296269854
924.30; 0.30192068; 656.71764714356
926.34; 0.29719833; 657.32271729061
928.38; 0.29188031; 657.91696041831
930.41; 0.28580751; 658.49883983658
932.45; 0.27892978; 659.06671678826
934.48; 0.27132453; 659.61911010831
936.52; 0.26320365; 660.15497002297
938.56; 0.25489967; 660.67392374895
940.59; 0.24682471; 661.17643755764
942.63; 0.23940377; 661.66384297063
944.66; 0.23299398; 662.13819860406
946.70; 0.22780983; 662.60199976163
